indicador_id,periodo,valor
esp_virgen_var_S52,S52,-0
esp_virgen_var_S52,S52,0
esp_virgen_var_S01,S01,0
esp_virgen_var_S02,S02,0.1
esp_virgen_var_S48,S48,0
esp_virgen_var_S47,S47,
esp_virgen_var_S51,S51,0.1
esp_virgen_var_S49,S49,-0.3
esp_virgen_var_S50,S50,-0.2
esp_virgen_var_S03,S03,0.8
esp_virgen_var_S04,S04,0.7
esp_virgen_var_S05,S05,0.9
esp_virgen_var_S04,S04,-0.7
esp_virgen_var_S06,S06,0.3
esp_virgen_var_S09,S09,0.6
esp_virgen_var_S07,S07,-1.4
esp_virgen_var_S11,S11,0
esp_virgen_var_S10,S10,0.1
esp_virgen_var_S08,S08,0.1
esp_virgen_var_S08,S08,-0.3
esp_virgen_var_S12,S12,-0.5
esp_virgen_var_S13,S13,0
esp_virgen_var_S13,S13,-0.1
esp_virgen_var_S14,S14,-0.2
esp_virgen_var_S17,S17,0.2
esp_virgen_var_S18,S18,0.2
esp_virgen_var_S15,S15,-0.4
esp_virgen_var_S16,S16,-0.1
esp_virgen_var_S17,S17,-0.2
esp_virgen_var_S19,S19,1.2
esp_virgen_var_S20,S20,-0.7
esp_virgen_pct_S52,S52,67
esp_virgen_pct_S52,S52,67
esp_virgen_pct_S01,S01,67
esp_virgen_pct_S02,S02,67
esp_virgen_pct_S48,S48,67.3
esp_virgen_pct_S47,S47,67.3
esp_virgen_pct_S51,S51,67
esp_virgen_pct_S49,S49,67.1
esp_virgen_pct_S50,S50,66.9
esp_virgen_pct_S03,S03,67.6
esp_virgen_pct_S04,S04,68.1
esp_virgen_pct_S05,S05,68.2
esp_virgen_pct_S04,S04,67.6
esp_virgen_pct_S06,S06,68.3
esp_virgen_pct_S09,S09,67.7
esp_virgen_pct_S07,S07,67.4
esp_virgen_pct_S11,S11,67.7
esp_virgen_pct_S10,S10,67.7
esp_virgen_pct_S08,S08,67.3
esp_virgen_pct_S08,S08,67.2
esp_virgen_pct_S12,S12,67.4
esp_virgen_pct_S13,S13,67.3
esp_virgen_pct_S13,S13,67.3
esp_virgen_pct_S14,S14,67.2
esp_virgen_pct_S17,S17,67
esp_virgen_pct_S18,S18,67.1
esp_virgen_pct_S15,S15,67
esp_virgen_pct_S16,S16,66.9
esp_virgen_pct_S17,S17,66.9
esp_virgen_pct_S19,S19,67.9
esp_virgen_pct_S20,S20,67.4
esp_consagracion_var_S52,S52,-0.2
esp_consagracion_var_S52,S52,0
esp_consagracion_var_S01,S01,0
esp_consagracion_var_S02,S02,0.1
esp_consagracion_var_S48,S48,-0
esp_consagracion_var_S47,S47,
esp_consagracion_var_S51,S51,0.1
esp_consagracion_var_S49,S49,-0.3
esp_consagracion_var_S50,S50,-0.2
esp_consagracion_var_S03,S03,0.1
esp_consagracion_var_S04,S04,0.4
esp_consagracion_var_S05,S05,0.4
esp_consagracion_var_S04,S04,-0.3
esp_consagracion_var_S06,S06,0.1
esp_consagracion_var_S09,S09,0
esp_consagracion_var_S07,S07,-1.5
esp_consagracion_var_S11,S11,0
esp_consagracion_var_S10,S10,-0
esp_consagracion_var_S08,S08,0.1
esp_consagracion_var_S08,S08,-0.2
esp_consagracion_var_S12,S12,-1.3
esp_consagracion_var_S13,S13,0
esp_consagracion_var_S13,S13,-0.2
esp_consagracion_var_S14,S14,-0.2
esp_consagracion_var_S17,S17,0.2
esp_consagracion_var_S18,S18,0.2
esp_consagracion_var_S15,S15,-0.5
esp_consagracion_var_S16,S16,-0.1
esp_consagracion_var_S17,S17,-0.2
esp_consagracion_var_S19,S19,-0.1
esp_consagracion_var_S20,S20,-0.7
esp_consagracion_pct_S52,S52,63
esp_consagracion_pct_S52,S52,63
esp_consagracion_pct_S01,S01,63
esp_consagracion_pct_S02,S02,63.1
esp_consagracion_pct_S48,S48,63.4
esp_consagracion_pct_S47,S47,63.4
esp_consagracion_pct_S51,S51,63.2
esp_consagracion_pct_S49,S49,63.2
esp_consagracion_pct_S50,S50,63.1
esp_consagracion_pct_S03,S03,63.1
esp_consagracion_pct_S04,S04,63.4
esp_consagracion_pct_S05,S05,63.4
esp_consagracion_pct_S04,S04,63.2
esp_consagracion_pct_S06,S06,63.5
esp_consagracion_pct_S09,S09,62.5
esp_consagracion_pct_S07,S07,62.6
esp_consagracion_pct_S11,S11,62.5
esp_consagracion_pct_S10,S10,62.5
esp_consagracion_pct_S08,S08,62.5
esp_consagracion_pct_S08,S08,62.4
esp_consagracion_pct_S12,S12,61.7
esp_consagracion_pct_S13,S13,61.6
esp_consagracion_pct_S13,S13,61.6
esp_consagracion_pct_S14,S14,61.4
esp_consagracion_pct_S17,S17,61.2
esp_consagracion_pct_S18,S18,61.2
esp_consagracion_pct_S15,S15,61.1
esp_consagracion_pct_S16,S16,61.1
esp_consagracion_pct_S17,S17,61.1
esp_consagracion_pct_S19,S19,61.2
esp_consagracion_pct_S20,S20,60.7
esp_bautismo_var_S52,S52,0.4
esp_bautismo_var_S52,S52,0
esp_bautismo_var_S01,S01,0
esp_bautismo_var_S02,S02,0
esp_bautismo_var_S48,S48,0.4
esp_bautismo_var_S47,S47,
esp_bautismo_var_S51,S51,0.1
esp_bautismo_var_S49,S49,-0.3
esp_bautismo_var_S50,S50,-0.2
esp_bautismo_var_S03,S03,0.4
esp_bautismo_var_S04,S04,5.1
esp_bautismo_var_S05,S05,0.4
esp_bautismo_var_S04,S04,-0.5
esp_bautismo_var_S06,S06,0.6
esp_bautismo_var_S09,S09,-0.2
esp_bautismo_var_S07,S07,-1.2
esp_bautismo_var_S11,S11,0
esp_bautismo_var_S10,S10,0
esp_bautismo_var_S08,S08,0.1
esp_bautismo_var_S08,S08,-0.2
esp_bautismo_var_S12,S12,-0.6
esp_bautismo_var_S13,S13,0
esp_bautismo_var_S13,S13,0.2
esp_bautismo_var_S14,S14,0.3
esp_bautismo_var_S17,S17,0.1
esp_bautismo_var_S18,S18,0.2
esp_bautismo_var_S15,S15,0.1
esp_bautismo_var_S16,S16,-0.1
esp_bautismo_var_S17,S17,-0.1
esp_bautismo_var_S19,S19,0.1
esp_bautismo_var_S20,S20,-0.7
esp_bautismo_pct_S52,S52,44.2
esp_bautismo_pct_S52,S52,44.2
esp_bautismo_pct_S01,S01,44.2
esp_bautismo_pct_S02,S02,44.2
esp_bautismo_pct_S48,S48,44.3
esp_bautismo_pct_S47,S47,44.1
esp_bautismo_pct_S51,S51,44.1
esp_bautismo_pct_S49,S49,44.1
esp_bautismo_pct_S50,S50,44
esp_bautismo_pct_S03,S03,44.4
esp_bautismo_pct_S04,S04,46.7
esp_bautismo_pct_S05,S05,46.6
esp_bautismo_pct_S04,S04,46.4
esp_bautismo_pct_S06,S06,46.9
esp_bautismo_pct_S09,S09,46.2
esp_bautismo_pct_S07,S07,46.3
esp_bautismo_pct_S11,S11,46.2
esp_bautismo_pct_S10,S10,46.2
esp_bautismo_pct_S08,S08,46.3
esp_bautismo_pct_S08,S08,46.2
esp_bautismo_pct_S12,S12,45.9
esp_bautismo_pct_S13,S13,46
esp_bautismo_pct_S13,S13,46
esp_bautismo_pct_S14,S14,46.1
esp_bautismo_pct_S17,S17,46.2
esp_bautismo_pct_S18,S18,46.3
esp_bautismo_pct_S15,S15,46.2
esp_bautismo_pct_S16,S16,46.2
esp_bautismo_pct_S17,S17,46.2
esp_bautismo_pct_S19,S19,46.3
esp_bautismo_pct_S20,S20,46
p_juf_regcivil_var_S52,S52,-0.1
p_juf_regcivil_var_S52,S52,0
p_juf_regcivil_var_S01,S01,0
p_juf_regcivil_var_S02,S02,0
p_juf_regcivil_var_S48,S48,0.1
p_juf_regcivil_var_S47,S47,
p_juf_regcivil_var_S51,S51,0.3
p_juf_regcivil_var_S49,S49,-0.2
p_juf_regcivil_var_S50,S50,-0.1
p_juf_regcivil_var_S03,S03,0.1
p_juf_regcivil_var_S04,S04,0
p_juf_regcivil_var_S05,S05,0
p_juf_regcivil_var_S04,S04,0
p_juf_regcivil_var_S06,S06,0.1
p_juf_regcivil_var_S09,S09,0.1
p_juf_regcivil_var_S07,S07,-0.2
p_juf_regcivil_var_S11,S11,0
p_juf_regcivil_var_S10,S10,-0.1
p_juf_regcivil_var_S08,S08,0
p_juf_regcivil_var_S08,S08,-0.1
p_juf_regcivil_var_S12,S12,0.1
p_juf_regcivil_var_S13,S13,-0.1
p_juf_regcivil_var_S13,S13,0
p_juf_regcivil_var_S14,S14,0.1
p_juf_regcivil_var_S17,S17,0
p_juf_regcivil_var_S18,S18,0
p_juf_regcivil_var_S15,S15,0.1
p_juf_regcivil_var_S16,S16,0
p_juf_regcivil_var_S17,S17,0
p_juf_regcivil_var_S19,S19,0.1
p_juf_regcivil_var_S20,S20,-0.1
p_juf_regcivil_pct_S52,S52,99.7
p_juf_regcivil_pct_S52,S52,99.7
p_juf_regcivil_pct_S01,S01,99.7
p_juf_regcivil_pct_S02,S02,99.7
p_juf_regcivil_pct_S48,S48,99.9
p_juf_regcivil_pct_S47,S47,99.8
p_juf_regcivil_pct_S51,S51,99.9
p_juf_regcivil_pct_S49,S49,99.6
p_juf_regcivil_pct_S50,S50,99.6
p_juf_regcivil_pct_S03,S03,99.9
p_juf_regcivil_pct_S04,S04,99.9
p_juf_regcivil_pct_S05,S05,99.9
p_juf_regcivil_pct_S04,S04,99.9
p_juf_regcivil_pct_S06,S06,99.9
p_juf_regcivil_pct_S09,S09,99.7
p_juf_regcivil_pct_S07,S07,99.7
p_juf_regcivil_pct_S11,S11,99.6
p_juf_regcivil_pct_S10,S10,99.6
p_juf_regcivil_pct_S08,S08,99.6
p_juf_regcivil_pct_S08,S08,99.6
p_juf_regcivil_pct_S12,S12,99.7
p_juf_regcivil_pct_S13,S13,99.6
p_juf_regcivil_pct_S13,S13,99.7
p_juf_regcivil_pct_S14,S14,99.7
p_juf_regcivil_pct_S17,S17,99.8
p_juf_regcivil_pct_S18,S18,99.8
p_juf_regcivil_pct_S15,S15,99.8
p_juf_regcivil_pct_S16,S16,99.8
p_juf_regcivil_pct_S17,S17,99.8
p_juf_regcivil_pct_S19,S19,99.9
p_juf_regcivil_pct_S20,S20,99.7
salud_seguro_var_S52,S52,-0.4
salud_seguro_var_S52,S52,0
salud_seguro_var_S01,S01,0
salud_seguro_var_S02,S02,0
salud_seguro_var_S48,S48,0.1
salud_seguro_var_S47,S47,
salud_seguro_var_S51,S51,0.1
salud_seguro_var_S49,S49,-0.2
salud_seguro_var_S50,S50,-0.2
salud_seguro_var_S03,S03,-0
salud_seguro_var_S04,S04,0
salud_seguro_var_S05,S05,0
salud_seguro_var_S04,S04,-0
salud_seguro_var_S06,S06,0.1
salud_seguro_var_S09,S09,-0.2
salud_seguro_var_S07,S07,-0.3
