indicador_id,periodo,valor
esp_virgen_p2040_total_S04,S04,931
esp_virgen_p2040_total_S01,S01,904
esp_virgen_p2040_total_S05,S05,904
esp_virgen_p2040_total_S05,S05,904
esp_virgen_p2040_total_S01,S01,931
esp_virgen_p2040_total_S01,S01,932
esp_virgen_p2040_total_S02,S02,932
esp_virgen_p2040_total_S02,S02,944
esp_virgen_p2040_total_S04,S04,932
esp_virgen_p2040_total_S03,S03,932
esp_virgen_p2040_total_S03,S03,944
esp_virgen_p2040_total_S04,S04,916
esp_virgen_p2040_total_S02,S02,906
esp_virgen_p2040_total_S04,S04,932
esp_virgen_p2040_total_S02,S02,919
esp_virgen_p2040_total_S01,S01,918
esp_virgen_p2040_total_S05,S05,934
esp_virgen_p2040_total_S05,S05,934
esp_virgen_p2040_total_S03,S03,916
esp_virgen_p2040_total_S03,S03,922
esp_virgen_p2040_total_S01,S01,927
esp_virgen_p2040_total_S01,S01,909
esp_virgen_p2040_total_S04,S04,909
esp_virgen_p2040_total_S04,S04,917
esp_virgen_p2040_total_S04,S04,923
esp_virgen_p2040_total_S03,S03,929
esp_virgen_p2040_total_S02,S02,929
esp_virgen_p2040_total_S04,S04,923
esp_virgen_p2040_total_S02,S02,910
esp_virgen_p2040_total_S03,S03,910
esp_virgen_p2040_total_S04,S04,913
indicador_id,periodo,valor
esp_virgen_p2040_var_S04,S04,0.2
esp_virgen_p2040_var_S01,S01,0
esp_virgen_p2040_var_S05,S05,0
esp_virgen_p2040_var_S05,S05,-0
esp_virgen_p2040_var_S01,S01,-0.2
esp_virgen_p2040_var_S01,S01,0.2
esp_virgen_p2040_var_S02,S02,-0.4
esp_virgen_p2040_var_S02,S02,1.2
esp_virgen_p2040_var_S04,S04,-0.2
esp_virgen_p2040_var_S03,S03,-0.1
esp_virgen_p2040_var_S03,S03,-0.7
esp_virgen_p2040_var_S04,S04,0.7
esp_virgen_p2040_var_S02,S02,0.1
esp_virgen_p2040_var_S04,S04,-0.5
esp_virgen_p2040_var_S02,S02,0.3
esp_virgen_p2040_var_S01,S01,0.9
esp_virgen_p2040_var_S05,S05,0
esp_virgen_p2040_var_S05,S05,-0.1
esp_virgen_p2040_var_S03,S03,0.8
esp_virgen_p2040_var_S03,S03,-1.4
esp_virgen_p2040_var_S01,S01,0.6
esp_virgen_p2040_var_S01,S01,0
esp_virgen_p2040_var_S04,S04,0.1
esp_virgen_p2040_var_S04,S04,-0.7
esp_virgen_p2040_var_S04,S04,0.1
esp_virgen_p2040_var_S03,S03,0
esp_virgen_p2040_var_S02,S02,0.1
esp_virgen_p2040_var_S04,S04,-0.3
esp_virgen_p2040_var_S02,S02,-0.3
esp_virgen_p2040_var_S03,S03,-0.2
esp_virgen_p2040_var_S04,S04,
indicador_id,periodo,valor
esp_virgen_p2040_pct_S04,S04,67
esp_virgen_p2040_pct_S01,S01,67
esp_virgen_p2040_pct_S05,S05,67
esp_virgen_p2040_pct_S05,S05,67
esp_virgen_p2040_pct_S01,S01,67.2
esp_virgen_p2040_pct_S01,S01,67.1
esp_virgen_p2040_pct_S02,S02,67
esp_virgen_p2040_pct_S02,S02,67.9
esp_virgen_p2040_pct_S04,S04,66.9
esp_virgen_p2040_pct_S03,S03,66.9
esp_virgen_p2040_pct_S03,S03,67.4
esp_virgen_p2040_pct_S04,S04,68.1
esp_virgen_p2040_pct_S02,S02,67
esp_virgen_p2040_pct_S04,S04,67.4
esp_virgen_p2040_pct_S02,S02,68.3
esp_virgen_p2040_pct_S01,S01,68.2
esp_virgen_p2040_pct_S05,S05,67.3
