indicador_id,periodo,valor,semana_inicio
edu_inscritos_var_S13,S13,,24/03/2025
edu_inscritos_p2040_S13,S13,0,24/03/2025
edu_u2040_S13,S13,242,24/03/2025
edu_inscritos_pct_S13,S13,0,24/03/2025
edu_inscritos_pct_mar30,mar-30,0,24/03/2025
edu_u2040_mar30,mar-30,242,24/03/2025
edu_inscritos_p2040_mar30,mar-30,0,24/03/2025
edu_inscritos_var_mar30,mar-30,,24/03/2025
edu_u2040_S14,S14,796,31/03/2025
edu_inscritos_var_S14,S14,,31/03/2025
edu_inscritos_p2040_S14,S14,268,31/03/2025
edu_inscritos_pct_S14,S14,33.7,31/03/2025
edu_inscritos_var_apr06,apr06,,31/03/2025
edu_u2040_apr06,apr06,796,31/03/2025
edu_inscritos_p2040_apr06,apr06,268,31/03/2025
edu_inscritos_pct_apr06,apr06,33.7,31/03/2025
edu_inscritos_var_S15,S15,38.9,07/04/2025
edu_u2040_S15,S15,573,07/04/2025
edu_inscritos_p2040_S15,S15,268,07/04/2025
edu_inscritos_pct_S15,S15,46.8,07/04/2025
edu_inscritos_p2040_apr13,apr13,268,07/04/2025
edu_inscritos_var_apr13,apr13,38.9,07/04/2025
edu_u2040_apr13,apr13,573,07/04/2025
edu_inscritos_pct_apr13,apr13,46.8,07/04/2025
edu_u2040_S16,S16,573,14/04/2025
edu_inscritos_p2040_S16,S16,268,14/04/2025
edu_inscritos_pct_S16,S16,46.8,14/04/2025
edu_inscritos_var_S16,S16,0,14/04/2025
edu_inscritos_var_apr20,apr20,0,14/04/2025
edu_inscritos_pct_apr20,apr20,46.8,14/04/2025
edu_inscritos_p2040_apr20,apr20,268,14/04/2025
edu_u2040_apr20,apr20,573,14/04/2025
edu_u2040_S17,S17,576,21/04/2025
edu_inscritos_pct_S17,S17,46.5,21/04/2025
edu_inscritos_p2040_S17,S17,268,21/04/2025
edu_inscritos_var_S17,S17,-0.5,21/04/2025
edu_inscritos_p2040_apr27,apr27,268,21/04/2025
edu_u2040_apr27,apr27,576,21/04/2025
edu_inscritos_pct_apr27,apr27,46.5,21/04/2025
edu_inscritos_var_apr27,apr27,-0.5,21/04/2025
edu_inscritos_var_S18,S18,0,28/04/2025
edu_inscritos_pct_S18,S18,46.5,28/04/2025
edu_inscritos_p2040_S18,S18,268,28/04/2025
edu_u2040_S18,S18,576,28/04/2025
edu_inscritos_pct_may04,may-04,46.5,28/04/2025
edu_inscritos_p2040_may04,may-04,268,28/04/2025
edu_inscritos_var_may04,may-04,0,28/04/2025
edu_u2040_may04,may-04,576,28/04/2025
edu_inscritos_pct_S19,S19,46.4,05/05/2025
edu_inscritos_p2040_S19,S19,268,05/05/2025
edu_inscritos_var_S19,S19,-0.2,05/05/2025
edu_u2040_S19,S19,577,05/05/2025
edu_inscritos_p2040_may11,may-11,268,05/05/2025
edu_inscritos_pct_may11,may-11,46.4,05/05/2025
edu_inscritos_var_may11,may-11,-0.2,05/05/2025
edu_u2040_may11,may-11,577,05/05/2025
edu_inscritos_p2040_S20,S20,268,12/05/2025
edu_u2040_S20,S20,578,12/05/2025
edu_inscritos_var_S20,S20,-0.2,12/05/2025
edu_inscritos_pct_S20,S20,46.4,12/05/2025
edu_inscritos_pct_may18,may-18,46.4,12/05/2025
edu_inscritos_var_may18,may-18,-0.2,12/05/2025
edu_u2040_may18,may-18,578,12/05/2025
edu_inscritos_p2040_may18,may-18,268,12/05/2025
