indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
juf_suenos_var_S14,S14,0.2,2025-04-07
indicador_id,periodo,valor,semana_inicio
juf_suenos_var_S16,S16,-0.1,2025-04-21
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
juf_suenos_pct_S05,S05,89.7,2025-02-03
juf_suenos_pct_S16,S16,86.9,2025-04-21
juf_suenos_pct_S47,S47,80.8,2024-11-18
juf_suenos_pct_S12,S12,87.5,2025-03-24
juf_suenos_pct_S20,S20,88.7,2025-05-19
juf_suenos_pct_S19,S19,87.4,2025-05-12
juf_suenos_pct_S51,S51,80.5,2024-12-23
juf_suenos_pct_S13,S13,87.2,2025-03-24
juf_suenos_pct_S17,S17,86.9,2025-04-28
juf_suenos_pct_S52,S52,80.3,2024-12-30
juf_suenos_pct_S52,S52,80.3,2024-12-23
juf_suenos_pct_S49,S49,80.6,2024-12-09
juf_suenos_pct_S03,S03,84.7,2025-01-20
juf_suenos_pct_S11,S11,88.2,2025-03-17
juf_suenos_pct_S04,S04,89.5,2025-01-20
juf_suenos_pct_S18,S18,87.1,2025-05-05
juf_suenos_pct_S08,S08,88.4,2025-02-24
juf_suenos_pct_S48,S48,80.9,2024-11-25
juf_suenos_pct_S17,S17,87,2025-04-21
juf_suenos_pct_S06,S06,89.8,2025-02-10
juf_suenos_pct_S15,S15,87,2025-04-14
juf_suenos_pct_S08,S08,88.1,2025-02-17
juf_suenos_pct_S02,S02,81.9,2025-01-13
juf_suenos_pct_S50,S50,80.4,2024-12-16
juf_suenos_pct_S09,S09,88.2,2025-03-03
juf_suenos_pct_S04,S04,86.5,2025-01-27
juf_suenos_pct_S07,S07,88.6,2025-02-17
juf_suenos_pct_S13,S13,87.2,2025-03-31
juf_suenos_pct_S01,S01,80.3,2025-01-06
juf_suenos_pct_S10,S10,88.2,2025-03-10
juf_suenos_pct_S14,S14,87.4,2025-04-07
indicador_id,periodo,valor,semana_inicio
juf_suenos_p2040_S16,S16,1211,2025-04-21
juf_suenos_p2040_S05,S05,1208,2025-02-03
juf_suenos_p2040_S12,S12,1210,2025-03-24
juf_suenos_p2040_S47,S47,1096,2024-11-18
juf_suenos_p2040_S52,S52,1084,2024-12-23
juf_suenos_p2040_S51,S51,1093,2024-12-23
juf_suenos_p2040_S52,S52,1084,2024-12-30
juf_suenos_p2040_S17,S17,1211,2025-04-28
juf_suenos_p2040_S18,S18,1210,2025-05-05
juf_suenos_p2040_S19,S19,1216,2025-05-12
juf_suenos_p2040_S49,S49,1094,2024-12-09
juf_suenos_p2040_S17,S17,1209,2025-04-21
juf_suenos_p2040_S20,S20,1242,2025-05-19
juf_suenos_p2040_S04,S04,1204,2025-01-20
juf_suenos_p2040_S13,S13,1209,2025-03-24
juf_suenos_p2040_S08,S08,1210,2025-02-17
juf_suenos_p2040_S48,S48,1093,2024-11-25
juf_suenos_p2040_S03,S03,1148,2025-01-20
juf_suenos_p2040_S08,S08,1213,2025-02-24
juf_suenos_p2040_S06,S06,1208,2025-02-10
juf_suenos_p2040_S11,S11,1210,2025-03-17
juf_suenos_p2040_S15,S15,1211,2025-04-14
juf_suenos_p2040_S09,S09,1209,2025-03-03
juf_suenos_p2040_S02,S02,1107,2025-01-13
juf_suenos_p2040_S50,S50,1094,2024-12-16
juf_suenos_p2040_S07,S07,1212,2025-02-17
juf_suenos_p2040_S04,S04,1174,2025-01-27
juf_suenos_p2040_S01,S01,1084,2025-01-06
juf_suenos_p2040_S13,S13,1209,2025-03-31
juf_suenos_p2040_S10,S10,1210,2025-03-10
juf_suenos_p2040_S14,S14,1210,2025-04-07
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
U2040_S16,S16,1393,2025-04-21
U2040_S05,S05,1347,2025-02-03
U2040_S12,S12,1383,2025-03-24
U2040_S18,S18,1390,2025-05-05
U2040_S49,S49,1357,2024-12-09
U2040_S20,S20,1401,2025-05-19
U2040_S17,S17,1393,2025-04-28
U2040_S15,S15,1392,2025-04-14
U2040_S08,S08,1372,2025-02-24
U2040_S19,S19,1391,2025-05-12
U2040_S52,S52,1350,2024-12-30
U2040_S47,S47,1357,2024-11-18
U2040_S04,S04,1357,2025-01-27
U2040_S13,S13,1387,2025-03-24
U2040_S52,S52,1350,2024-12-23
U2040_S09,S09,1370,2025-03-03
U2040_S02,S02,1352,2025-01-13
U2040_S04,S04,1346,2025-01-20
U2040_S11,S11,1372,2025-03-17
U2040_S17,S17,1389,2025-04-21
U2040_S08,S08,1373,2025-02-17
U2040_S51,S51,1357,2024-12-23
U2040_S03,S03,1356,2025-01-20
U2040_S48,S48,1351,2024-11-25
U2040_S07,S07,1368,2025-02-17
U2040_S50,S50,1360,2024-12-16
U2040_S13,S13,1387,2025-03-31
U2040_S06,S06,1345,2025-02-10
U2040_S01,S01,1350,2025-01-06
U2040_S10,S10,1372,2025-03-10
U2040_S14,S14,1385,2025-04-07
