indicador_id,periodo,valor,semana_inicio
esp_virgen_p2040_var_S52,S52,-0,2024-12-29
esp_virgen_p2040_var_S52,S52,0,2024-12-30
esp_virgen_p2040_var_S01,S01,0,2025-01-06
esp_virgen_p2040_var_S02,S02,0.1,2025-01-13
esp_virgen_p2040_var_S48,S48,0,2024-12-01
esp_virgen_p2040_var_S47,S47,,2024-11-24
esp_virgen_p2040_var_S51,S51,0.1,2024-12-23
esp_virgen_p2040_var_S49,S49,-0.3,2024-12-09
esp_virgen_p2040_var_S50,S50,-0.2,2024-12-16
esp_virgen_p2040_var_S03,S03,0.8,2025-01-20
esp_virgen_p2040_var_S04,S04,0.7,2025-01-26
esp_virgen_p2040_var_S05,S05,0.9,2025-02-03
esp_virgen_p2040_var_S04,S04,-0.7,2025-01-27
esp_virgen_p2040_var_S06,S06,0.3,2025-02-10
esp_virgen_p2040_var_S09,S09,0.6,2025-03-03
esp_virgen_p2040_var_S07,S07,-1.4,2025-02-17
esp_virgen_p2040_var_S11,S11,0,2025-03-17
esp_virgen_p2040_var_S10,S10,0.1,2025-03-10
esp_virgen_p2040_var_S08,S08,0.1,2025-02-24
esp_virgen_p2040_var_S08,S08,-0.3,2025-02-23
esp_virgen_p2040_var_S12,S12,-0.5,2025-03-24
esp_virgen_p2040_var_S13,S13,0,2025-03-31
esp_virgen_p2040_var_S13,S13,-0.1,2025-03-30
esp_virgen_p2040_var_S14,S14,-0.2,2025-04-07
esp_virgen_p2040_var_S17,S17,0.2,2025-04-27
esp_virgen_p2040_var_S18,S18,0.2,2025-05-05
esp_virgen_p2040_var_S15,S15,-0.4,2025-04-14
esp_virgen_p2040_var_S16,S16,-0.1,2025-04-21
esp_virgen_p2040_var_S17,S17,-0.2,2025-04-28
esp_virgen_p2040_var_S19,S19,1.2,2025-05-12
esp_virgen_p2040_var_S20,S20,-0.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_virgen_p2040_pct_S52,S52,67,2024-12-29
esp_virgen_p2040_pct_S52,S52,67,2024-12-30
esp_virgen_p2040_pct_S01,S01,67,2025-01-06
esp_virgen_p2040_pct_S02,S02,67,2025-01-13
esp_virgen_p2040_pct_S48,S48,67.3,2024-12-01
esp_virgen_p2040_pct_S47,S47,67.3,2024-11-24
esp_virgen_p2040_pct_S51,S51,67,2024-12-23
esp_virgen_p2040_pct_S49,S49,67.1,2024-12-09
esp_virgen_p2040_pct_S50,S50,66.9,2024-12-16
esp_virgen_p2040_pct_S03,S03,67.6,2025-01-20
esp_virgen_p2040_pct_S04,S04,68.1,2025-01-26
esp_virgen_p2040_pct_S05,S05,68.2,2025-02-03
esp_virgen_p2040_pct_S04,S04,67.6,2025-01-27
esp_virgen_p2040_pct_S06,S06,68.3,2025-02-10
esp_virgen_p2040_pct_S09,S09,67.7,2025-03-03
esp_virgen_p2040_pct_S07,S07,67.4,2025-02-17
esp_virgen_p2040_pct_S11,S11,67.7,2025-03-17
esp_virgen_p2040_pct_S10,S10,67.7,2025-03-10
esp_virgen_p2040_pct_S08,S08,67.3,2025-02-24
esp_virgen_p2040_pct_S08,S08,67.2,2025-02-23
esp_virgen_p2040_pct_S12,S12,67.4,2025-03-24
esp_virgen_p2040_pct_S13,S13,67.3,2025-03-31
esp_virgen_p2040_pct_S13,S13,67.3,2025-03-30
esp_virgen_p2040_pct_S14,S14,67.2,2025-04-07
esp_virgen_p2040_pct_S17,S17,67,2025-04-27
esp_virgen_p2040_pct_S18,S18,67.1,2025-05-05
esp_virgen_p2040_pct_S15,S15,67,2025-04-14
esp_virgen_p2040_pct_S16,S16,66.9,2025-04-21
esp_virgen_p2040_pct_S17,S17,66.9,2025-04-28
esp_virgen_p2040_pct_S19,S19,67.9,2025-05-12
esp_virgen_p2040_pct_S20,S20,67.4,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_virgen_p2040_total_S52,S52,904,2024-12-29
esp_virgen_p2040_total_S52,S52,904,2024-12-30
esp_virgen_p2040_total_S01,S01,904,2025-01-06
esp_virgen_p2040_total_S02,S02,906,2025-01-13
esp_virgen_p2040_total_S48,S48,909,2024-12-01
esp_virgen_p2040_total_S47,S47,913,2024-11-24
esp_virgen_p2040_total_S51,S51,909,2024-12-23
esp_virgen_p2040_total_S49,S49,910,2024-12-09
esp_virgen_p2040_total_S50,S50,910,2024-12-16
esp_virgen_p2040_total_S03,S03,916,2025-01-20
esp_virgen_p2040_total_S04,S04,916,2025-01-26
esp_virgen_p2040_total_S05,S05,918,2025-02-03
esp_virgen_p2040_total_S04,S04,917,2025-01-27
esp_virgen_p2040_total_S06,S06,919,2025-02-10
esp_virgen_p2040_total_S09,S09,927,2025-03-03
esp_virgen_p2040_total_S07,S07,922,2025-02-17
esp_virgen_p2040_total_S11,S11,929,2025-03-17
esp_virgen_p2040_total_S10,S10,929,2025-03-10
esp_virgen_p2040_total_S08,S08,923,2025-02-24
esp_virgen_p2040_total_S08,S08,923,2025-02-23
esp_virgen_p2040_total_S12,S12,932,2025-03-24
esp_virgen_p2040_total_S13,S13,934,2025-03-31
esp_virgen_p2040_total_S13,S13,934,2025-03-30
esp_virgen_p2040_total_S14,S14,931,2025-04-07
esp_virgen_p2040_total_S17,S17,931,2025-04-27
esp_virgen_p2040_total_S18,S18,932,2025-05-05
esp_virgen_p2040_total_S15,S15,932,2025-04-14
esp_virgen_p2040_total_S16,S16,932,2025-04-21
esp_virgen_p2040_total_S17,S17,932,2025-04-28
esp_virgen_p2040_total_S19,S19,944,2025-05-12
esp_virgen_p2040_total_S20,S20,944,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_corazon_p2040_var_S52,S52,-0.2,2024-12-29
esp_corazon_p2040_var_S52,S52,0,2024-12-30
esp_corazon_p2040_var_S01,S01,0,2025-01-06
esp_corazon_p2040_var_S02,S02,0.1,2025-01-13
esp_corazon_p2040_var_S48,S48,-0,2024-12-01
esp_corazon_p2040_var_S47,S47,,2024-11-24
esp_corazon_p2040_var_S51,S51,0.1,2024-12-23
esp_corazon_p2040_var_S49,S49,-0.3,2024-12-09
esp_corazon_p2040_var_S50,S50,-0.2,2024-12-16
esp_corazon_p2040_var_S03,S03,0.1,2025-01-20
esp_corazon_p2040_var_S04,S04,0.4,2025-01-26
esp_corazon_p2040_var_S05,S05,0.4,2025-02-03
esp_corazon_p2040_var_S04,S04,-0.3,2025-01-27
esp_corazon_p2040_var_S06,S06,0.1,2025-02-10
esp_corazon_p2040_var_S09,S09,0,2025-03-03
esp_corazon_p2040_var_S07,S07,-1.5,2025-02-17
esp_corazon_p2040_var_S11,S11,0,2025-03-17
esp_corazon_p2040_var_S10,S10,-0,2025-03-10
esp_corazon_p2040_var_S08,S08,0.1,2025-02-24
esp_corazon_p2040_var_S08,S08,-0.2,2025-02-23
esp_corazon_p2040_var_S12,S12,-1.3,2025-03-24
esp_corazon_p2040_var_S13,S13,0,2025-03-31
esp_corazon_p2040_var_S13,S13,-0.2,2025-03-30
esp_corazon_p2040_var_S14,S14,-0.2,2025-04-07
esp_corazon_p2040_var_S17,S17,0.2,2025-04-27
esp_corazon_p2040_var_S18,S18,0.2,2025-05-05
esp_corazon_p2040_var_S15,S15,-0.5,2025-04-14
esp_corazon_p2040_var_S16,S16,-0.1,2025-04-21
esp_corazon_p2040_var_S17,S17,-0.2,2025-04-28
esp_corazon_p2040_var_S19,S19,-0.1,2025-05-12
esp_corazon_p2040_var_S20,S20,-0.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
esp_corazon_p2040_pct_S52,S52,63,2024-12-29
esp_corazon_p2040_pct_S52,S52,63,2024-12-30
esp_corazon_p2040_pct_S01,S01,63,2025-01-06
esp_corazon_p2040_pct_S02,S02,63.1,2025-01-13
