indicador_id,periodo,valor,semana_inicio
salud_vacunacion_pct_S20,S20,31.4,2025-05-19
salud_vacunacion_pct_S19,S19,30.6,2025-05-12
salud_vacunacion_pct_S17,S17,30.3,2025-04-28
salud_vacunacion_pct_S18,S18,30.1,2025-05-05
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
salud_vacunacion_total_S20,S20,440,2025-05-19
salud_vacunacion_total_S19,S19,426,2025-05-12
salud_vacunacion_total_S17,S17,421,2025-04-28
salud_vacunacion_total_S18,S18,419,2025-05-05
indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
U2040_S19,S19,1392,2025-05-12
U2040_S18,S18,1391,2025-05-05
U2040_S17,S17,1391,2025-04-28
U2040_S20,S20,1402,2025-05-19
